seed,chain_length,model,accuracy,loss,mean_inference_latency_ms_per_example
0,2,gru,0.0546875,3.1857621669769287,0.29928222656261383
0,2,linear,0.0390625,3.1757686138153076,0.5713718750000041
0,2,hybrid,0.041015625,3.177053451538086,1.1436078124998916
0,2,fixed_half_hybrid,0.04296875,3.172011137008667,0.9237748046876382
0,2,forced_gru_hybrid,0.03125,3.1798715591430664,1.031321679687558
0,2,forced_linear_hybrid,0.046875,3.1775388717651367,0.896554296875185
0,2,random_fusion_hybrid,0.033203125,3.178826332092285,0.8380546875000894
0,2,scalar_fusion_hybrid,0.044921875,3.1783103942871094,1.0998994140625218
0,2,param_matched_gru,0.0390625,3.1777524948120117,0.30820156249999897
0,2,dual_state_hybrid,0.046875,3.1726536750793457,0.8452027343751611
0,2,smoothed_gru,0.046875,3.1750502586364746,0.6206458984375773
0,2,probability_ensemble,0.046875,3.1779816150665283,0.8706541015626179
0,2,logit_ensemble,0.046875,3.1782052516937256,0.8706541015626179
0,2,last_destination,0.037109375,3.2100937366485596,0.0
0,2,first_destination,0.05859375,3.1886093616485596,0.0
0,2,most_recent_entity,0.0,3.2472035884857178,0.0
0,2,most_frequent_entity,0.0,3.2472035884857178,0.0
0,2,random_class,0.044921875,3.2022812366485596,0.0
0,3,gru,0.037109375,3.181389093399048,0.27177968750025094
0,3,linear,0.044921875,3.1847078800201416,0.5198812500001315
0,3,hybrid,0.04296875,3.1777071952819824,1.0177640624999817
0,3,fixed_half_hybrid,0.046875,3.1748170852661133,0.8543257812499983
0,3,forced_gru_hybrid,0.046875,3.1769230365753174,0.8470279296873828
0,3,forced_linear_hybrid,0.041015625,3.1770148277282715,0.9772732421874375
0,3,random_fusion_hybrid,0.048828125,3.1810073852539062,0.9741382812499255
0,3,scalar_fusion_hybrid,0.041015625,3.1748735904693604,1.1643982421875032
0,3,param_matched_gru,0.05078125,3.1756832599639893,0.3018496093750711
0,3,dual_state_hybrid,0.04296875,3.186067819595337,0.8310634765623659
0,3,smoothed_gru,0.04296875,3.1770098209381104,0.6336869140624035
0,3,probability_ensemble,0.044921875,3.18048095703125,0.7916609375003825
0,3,logit_ensemble,0.044921875,3.180553436279297,0.7916609375003825
0,3,last_destination,0.037109375,3.2100937366485596,0.0
0,3,first_destination,0.033203125,3.2139999866485596,0.0
0,3,most_recent_entity,0.0,3.2472035884857178,0.0
0,3,most_frequent_entity,0.0,3.2472035884857178,0.0
0,3,random_class,0.033203125,3.2139999866485596,0.0
0,4,gru,0.046875,3.1678574085235596,0.26851933593752264
0,4,linear,0.037109375,3.17053484916687,0.5029466796876436
0,4,hybrid,0.03125,3.1756997108459473,1.0045863281249456
0,4,fixed_half_hybrid,0.0390625,3.1767961978912354,0.8689548828124671
0,4,forced_gru_hybrid,0.046875,3.1815028190612793,0.9808025390625197
0,4,forced_linear_hybrid,0.041015625,3.176314115524292,1.0039927734374343
0,4,random_fusion_hybrid,0.044921875,3.176701545715332,0.9766496093750465
0,4,scalar_fusion_hybrid,0.041015625,3.172290325164795,1.1632072265624904
0,4,param_matched_gru,0.046875,3.1773786544799805,0.2985753906247224
0,4,dual_state_hybrid,0.0390625,3.177337169647217,0.8259685546873063
0,4,smoothed_gru,0.044921875,3.1775870323181152,0.5434917968748509
0,4,probability_ensemble,0.048828125,3.1668195724487305,0.7714660156251663
0,4,logit_ensemble,0.046875,3.1666862964630127,0.7714660156251663
0,4,last_destination,0.03515625,3.2120468616485596,0.0
0,4,first_destination,0.033203125,3.2140002250671387,0.0
0,4,most_recent_entity,0.0,3.2472035884857178,0.0
0,4,most_frequent_entity,0.0,3.2472035884857178,0.0
0,4,random_class,0.041015625,3.2061874866485596,0.0
