seed,mode,model,accuracy,loss,mean_inference_latency_ms_per_example
0,iid,gru,0.044921875,3.18414568901062,0.268214062499994
0,iid,linear,0.0390625,3.18070912361145,0.49806074218772256
0,iid,hybrid,0.0390625,3.187026262283325,1.1068330078124466
0,iid,fixed_half_hybrid,0.04296875,3.176870346069336,0.9872441406251209
0,iid,forced_gru_hybrid,0.037109375,3.1804373264312744,0.9913201171874997
0,iid,forced_linear_hybrid,0.05859375,3.1802868843078613,1.1015701171877001
0,iid,random_fusion_hybrid,0.05078125,3.1754655838012695,1.121771874999955
0,iid,scalar_fusion_hybrid,0.0390625,3.1863601207733154,1.319470703124881
0,iid,param_matched_gru,0.037109375,3.1859357357025146,0.3011312499998642
0,iid,dual_state_hybrid,0.048828125,3.1819229125976562,0.8337976562501348
0,iid,smoothed_gru,0.03515625,3.1737334728240967,0.628136328124862
0,iid,probability_ensemble,0.0390625,3.179988384246826,0.7662748046877166
0,iid,logit_ensemble,0.0390625,3.179933786392212,0.7662748046877166
0,iid,last_destination,0.07421875,3.1729843616485596,0.0
0,iid,first_destination,0.0390625,3.2081408500671387,0.0
0,iid,most_recent_entity,0.0,3.2472035884857178,0.0
0,iid,most_frequent_entity,0.0,3.2472035884857178,0.0
0,iid,random_class,0.04296875,3.2042343616485596,0.0
0,noise_ood,gru,0.02734375,3.1909713745117188,0.45379824218760856
0,noise_ood,linear,0.0390625,3.181379795074463,0.9037740234376646
0,noise_ood,hybrid,0.044921875,3.178597927093506,1.67844609375023
0,noise_ood,fixed_half_hybrid,0.052734375,3.178734064102173,1.6455275390621082
0,noise_ood,forced_gru_hybrid,0.037109375,3.1833879947662354,1.5140212890624172
0,noise_ood,forced_linear_hybrid,0.033203125,3.181471109390259,1.512396289062412
0,noise_ood,random_fusion_hybrid,0.048828125,3.1802523136138916,1.5031437499998246
0,noise_ood,scalar_fusion_hybrid,0.041015625,3.1787233352661133,1.7981648437498388
0,noise_ood,param_matched_gru,0.037109375,3.1839137077331543,0.4443781250000889
0,noise_ood,dual_state_hybrid,0.037109375,3.1788134574890137,1.2490523437499457
0,noise_ood,smoothed_gru,0.048828125,3.182806968688965,0.9728601562500883
0,noise_ood,probability_ensemble,0.03515625,3.1839239597320557,1.3575722656252731
0,noise_ood,logit_ensemble,0.03515625,3.1836624145507812,1.3575722656252731
0,noise_ood,last_destination,0.044921875,3.2022812366485596,0.0
0,noise_ood,first_destination,0.04296875,3.2042343616485596,0.0
0,noise_ood,most_recent_entity,0.0,3.2472035884857178,0.0
0,noise_ood,most_frequent_entity,0.0,3.2472035884857178,0.0
0,noise_ood,random_class,0.03125,3.2159535884857178,0.0
0,length_ood,gru,0.056640625,3.17582368850708,0.3340499999998636
0,length_ood,linear,0.048828125,3.18273663520813,0.6192431640625884
0,length_ood,hybrid,0.052734375,3.178488254547119,1.1859496093750144
0,length_ood,fixed_half_hybrid,0.03125,3.1846985816955566,0.9964794921876186
0,length_ood,forced_gru_hybrid,0.0390625,3.181985378265381,0.9776642578124273
0,length_ood,forced_linear_hybrid,0.03125,3.1821045875549316,0.980335546874822
0,length_ood,random_fusion_hybrid,0.0390625,3.1812291145324707,0.9569945312499772
0,length_ood,scalar_fusion_hybrid,0.048828125,3.1771485805511475,0.9876355468749765
0,length_ood,param_matched_gru,0.037109375,3.183201789855957,0.26522480468749166
0,length_ood,dual_state_hybrid,0.03515625,3.1808524131774902,0.7519091796874822
0,length_ood,smoothed_gru,0.033203125,3.183337926864624,0.6660462890627494
0,length_ood,probability_ensemble,0.052734375,3.1768155097961426,0.953293164062452
0,length_ood,logit_ensemble,0.052734375,3.176814317703247,0.953293164062452
0,length_ood,last_destination,0.046875,3.2003281116485596,0.0
0,length_ood,first_destination,0.0390625,3.2081406116485596,0.0
0,length_ood,most_recent_entity,0.0,3.2472035884857178,0.0
0,length_ood,most_frequent_entity,0.0,3.2472035884857178,0.0
0,length_ood,random_class,0.044921875,3.2022812366485596,0.0
0,combined_ood,gru,0.046875,3.180445671081543,0.3215779296875665
0,combined_ood,linear,0.046875,3.174363613128662,0.5922640624999032
0,combined_ood,hybrid,0.041015625,3.1803648471832275,1.225438281250435
0,combined_ood,fixed_half_hybrid,0.03515625,3.181309461593628,1.0852226562499956
0,combined_ood,forced_gru_hybrid,0.02734375,3.1753551959991455,1.1933017578124039
0,combined_ood,forced_linear_hybrid,0.025390625,3.1848957538604736,1.2368275390627348
0,combined_ood,random_fusion_hybrid,0.041015625,3.173337936401367,1.2599144531250106
0,combined_ood,scalar_fusion_hybrid,0.04296875,3.1833362579345703,1.455434765625041
0,combined_ood,param_matched_gru,0.029296875,3.181788444519043,0.3651119140625214
0,combined_ood,dual_state_hybrid,0.041015625,3.1745145320892334,1.0102441406251161
0,combined_ood,smoothed_gru,0.04296875,3.1832971572875977,0.7216499999999071
0,combined_ood,probability_ensemble,0.044921875,3.1747114658355713,0.9138419921874696
0,combined_ood,logit_ensemble,0.044921875,3.1748859882354736,0.9138419921874696
0,combined_ood,last_destination,0.046875,3.2003281116485596,0.0
0,combined_ood,first_destination,0.04296875,3.2042343616485596,0.0
0,combined_ood,most_recent_entity,0.0,3.2472035884857178,0.0
0,combined_ood,most_frequent_entity,0.0,3.2472035884857178,0.0
0,combined_ood,random_class,0.0625,3.1847031116485596,0.0
